               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.031843,            0.033973,           0.0068651,             0.88928,             0.80447,             0.86638,             0.44519,            0.038897,            0.037057,            0.014955,            0.001288,            0.001288,            0.001288
                  90,            0.031294,            0.033861,           0.0069294,             0.92307,             0.80732,              0.8735,             0.46881,            0.038094,            0.035301,            0.015493,            0.001189,            0.001189,            0.001189
                  91,            0.031191,            0.033351,           0.0066213,             0.90575,             0.79963,             0.86804,             0.47495,            0.037482,            0.034431,            0.016512,             0.00109,             0.00109,             0.00109
                  92,            0.030862,            0.033667,           0.0064378,             0.90962,             0.79171,             0.86496,             0.46476,             0.03808,            0.035733,            0.015952,            0.000991,            0.000991,            0.000991
                  93,            0.030922,            0.033644,           0.0065343,             0.89945,              0.7971,             0.86245,             0.45857,            0.038635,            0.035906,            0.016673,            0.000892,            0.000892,            0.000892
                  94,            0.030809,            0.033045,           0.0064568,             0.90117,             0.80834,             0.87039,             0.46217,            0.038411,             0.03583,            0.016703,            0.000793,            0.000793,            0.000793
                  95,            0.030686,            0.033547,           0.0063996,             0.90832,             0.80683,             0.86664,             0.46225,            0.038675,            0.036682,            0.016136,            0.000694,            0.000694,            0.000694
                  96,              0.0304,            0.033428,           0.0065196,             0.89466,             0.80781,             0.86586,             0.46328,            0.038331,            0.036131,            0.016958,            0.000595,            0.000595,            0.000595
                  97,            0.030091,             0.03201,           0.0063727,             0.91671,             0.80975,             0.87543,             0.48064,            0.037422,            0.034612,            0.015576,            0.000496,            0.000496,            0.000496
                  98,            0.029917,            0.032569,           0.0060053,             0.89114,              0.8369,             0.88071,             0.48029,            0.037619,            0.035139,            0.015636,            0.000397,            0.000397,            0.000397
                  99,            0.030302,            0.033427,           0.0064547,             0.91036,             0.79963,             0.86922,             0.45667,            0.038778,            0.036777,            0.015652,            0.000298,            0.000298,            0.000298
